YEAR,MONTH,DAY,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION,HI,Albedo_linear,Albedo_spline,skin_temperature_max_C,skin_temperature_min_C,NDBaI_linear,NDBaI_spline,NDBI_linear,NDBI_spline,NDVI_original,NDWI_linear,NDWI_spline
2014,3,27,25,15.6,86,1,110,26,0.11521832,0.11521832,30.38660583,16.83321533,0.138422801,0.138422801,-0.074134009,-0.074134009,0.057481481,-0.46879676,-0.46879676
2014,3,28,25.9,15.5,88,2,110,26.8,0.167887515,0.267605534,31.56870422,18.04050598,0.138416536,0.231611109,-0.073052569,-0.139846915,0.105074074,-0.423241718,-0.398579989
2014,3,29,25.4,15.5,82,1,290,25.6,0.220556709,0.267627802,30.28692017,17.99331055,0.138410271,0.231680656,-0.071971128,-0.139881229,0.061925926,-0.377686676,-0.398436057
2014,3,30,26.8,15.5,89,1,140,28.5,0.273225904,0.267650058,32.24955139,17.97348938,0.138404006,0.231750134,-0.070889688,-0.139915503,0.084051852,-0.332131634,-0.398292286
2014,3,31,25.8,15,88,1,90,26.5,0.325895099,0.267672303,31.50255737,16.16976318,0.138397741,0.231819542,-0.069808248,-0.139949737,0.212214815,-0.286576592,-0.398148678
2014,4,1,26,15.8,92,1,290,25.9,0.378564294,0.267694535,31.40470276,19.2103363,0.138391476,0.23188888,-0.068726808,-0.139983931,0.114207407,-0.24102155,-0.398005232
2014,4,2,25.8,15.1,87,2,290,26.6,0.431233489,0.267716755,31.36419067,17.86712036,0.138385211,0.231958148,-0.067645368,-0.140018086,0.14152963,-0.195466508,-0.397861947
2014,4,3,25.5,15.5,87,1,220,25.1,0.483902683,0.483902683,32.28795776,19.60576782,0.138378946,0.138378946,-0.066563928,-0.066563928,0.085077778,-0.149911466,-0.149911466
2014,4,4,25.2,15.2,90,1,290,23.2,0.507830654,0.26776116,29.01142273,18.90342102,0.139872535,0.232096474,-0.089692075,-0.140086277,0.0976,-0.13388351,-0.397575863
2014,4,5,24,15,88,1,140,22.9,0.531758624,0.267783344,31.34951172,18.5072113,0.141366125,0.232165533,-0.112820222,-0.140120313,0.070888889,-0.117855553,-0.397433064
2014,4,6,23.8,14.8,90,1,140,23.2,0.555686595,0.267805516,31.49155579,17.03139648,0.142859714,0.232234521,-0.135948369,-0.140154309,0.0374,-0.101827597,-0.397290426
